WBGene00013690	Y105E8B.5	hprt-1,Y105E8B.5
WBGene00012429	Y11D7A.5	Y11D7A.5
WBGene00009820	F47B10.9	F47B10.9
WBGene00017348	F10E7.6	F10E7.6
WBGene00007713	C25A1.15	C25A1.15
WBGene00000288	T07G12.1a	cal-4,T07G12.1
WBGene00000288	T07G12.1b	cal-4,T07G12.1
WBGene00044462	C44B12.9	C44B12.9
WBGene00007724	C25F9.4	C25F9.4
WBGene00006708	Y54G2A.31	ubc-13,Y54G2A.31
WBGene00014152	ZK930.2	ZK930.2
WBGene00000288	T07G12.1c	cal-4,T07G12.1
WBGene00019645	K11D12.5	swt-7,K11D12.5
